beatmapset_id,difficulty_rating,id,mode,status,total_length,user_id,version,accuracy,ar,bpm,convert,count_circles,count_sliders,count_spinners,cs,deleted_at,drain,hit_length,is_scoreable,last_updated,mode_int,passcount,playcount,ranked,url
1188926,4.88,2477440,mania,loved,255,2193881,[4K] exhaust vip,7,5,150,False,2180,1043,0,4,,8,254,True,2022-04-29T12:14:49+00:00,3,75,1549,4,https://osu.ppy.sh/beatmaps/2477440
1188926,5.02,2477441,mania,loved,255,2193881,[4K] exhaust,7,5,150,False,2166,1067,0,4,,8,254,True,2022-04-29T12:14:50+00:00,3,531,1747,4,https://osu.ppy.sh/beatmaps/2477441
1188926,4.39,2477442,mania,loved,255,2193881,[4K] light vip,7,5,150,False,1982,887,0,4,,8,254,True,2022-04-29T12:14:50+00:00,3,394,4636,4,https://osu.ppy.sh/beatmaps/2477442
1188926,4.53,2477443,mania,loved,255,2193881,[4K] light,7,5,150,False,1956,923,0,4,,8,254,True,2022-04-29T12:14:51+00:00,3,758,2215,4,https://osu.ppy.sh/beatmaps/2477443
1188926,5.72,2477444,mania,loved,255,2193881,[4K] suppression vip,6,5,150,False,2483,1096,0,4,,7.5,254,True,2022-04-29T12:14:52+00:00,3,282,1747,4,https://osu.ppy.sh/beatmaps/2477444
1188926,5.74,2477445,mania,loved,255,2193881,[4K] suppression,7,5,150,False,2456,1129,0,4,,8,254,True,2022-04-29T12:14:52+00:00,3,297,1504,4,https://osu.ppy.sh/beatmaps/2477445
1188926,7.37,2477446,mania,loved,255,7741797,[7K] eyes' supression vip,6.8,5,150,False,3283,1592,0,7,,7.8,254,True,2022-04-29T12:14:53+00:00,3,44,406,4,https://osu.ppy.sh/beatmaps/2477446
1188926,7.54,2477447,mania,loved,255,7741797,[7K] eyes' supression vip+,6.8,5,150,False,3563,1625,0,7,,7.8,254,True,2022-04-29T12:14:54+00:00,3,53,312,4,https://osu.ppy.sh/beatmaps/2477447
1035686,5.35,3556052,mania,loved,332,1824775,[4K] flowing 0.9x (105bpm),8,7.3,105.3,False,6680,64,0,4,,8,332,True,2022-04-30T04:19:47+00:00,3,101,1351,4,https://osu.ppy.sh/beatmaps/3556052
1035686,5.85,3556053,mania,loved,299,1824775,[4K] flowing,8,5,117,False,6680,64,0,4,,8,299,True,2022-04-30T04:19:48+00:00,3,97,1180,4,https://osu.ppy.sh/beatmaps/3556053
1035686,6.36,3588518,mania,loved,272,1824775,[4K] flowing 1.1x (129bpm),8,5,128.7,False,6680,64,0,4,,8,272,True,2022-04-30T04:19:49+00:00,3,24,282,4,https://osu.ppy.sh/beatmaps/3588518
1035686,6.86,3588519,mania,loved,249,1824775,[4K] flowing 1.2x (140bpm),8,5,140.4,False,6680,64,0,4,,8,249,True,2022-04-30T04:19:49+00:00,3,19,129,4,https://osu.ppy.sh/beatmaps/3588519
1035686,7.37,3588520,mania,loved,230,1824775,[4K] flowing 1.3x (152bpm),8,5,152.1,False,6680,64,0,4,,8,230,True,2022-04-30T04:19:50+00:00,3,29,208,4,https://osu.ppy.sh/beatmaps/3588520
1728899,3.64,3533335,osu,ranked,201,6449388,619'S HARD,6.5,8,210,False,190,383,2,3.7,,4,185,True,2022-04-20T13:35:16+00:00,0,1890,7435,1,https://osu.ppy.sh/beatmaps/3533335
1728899,5.05,3533336,osu,ranked,201,21662192,AMATS' INSANE,8.4,9,210,False,373,396,1,3.8,,5,186,True,2022-04-20T13:35:17+00:00,0,3713,12538,1,https://osu.ppy.sh/beatmaps/3533336
1728899,6.14,3533337,osu,ranked,201,11642599,RESTART,9,9.4,210,False,516,436,1,3.6,,5.8,201,True,2022-04-20T13:35:17+00:00,0,3837,17542,1,https://osu.ppy.sh/beatmaps/3533337
1728899,2.78,3533338,osu,ranked,201,11681430,YUMERIOS' NORMAL,4,5.5,210,False,200,268,2,3,,3,172,True,2022-04-20T13:35:18+00:00,0,1172,3916,1,https://osu.ppy.sh/beatmaps/3533338
267041,5.39,608145,mania,loved,161,914472,4K SHD,8.5,5,208,False,2484,18,0,4,,8.5,161,True,2022-04-26T17:31:34+00:00,3,477,1774,4,https://osu.ppy.sh/beatmaps/608145
267041,4.87,610907,mania,loved,161,914472,4K SC,8,5,208,False,2198,16,0,4,,8,161,True,2022-04-26T17:31:34+00:00,3,509,1990,4,https://osu.ppy.sh/beatmaps/610907
267041,5.15,644569,mania,loved,161,2544313,blazziken's 4K INF,8,5,208,False,2482,28,0,4,,8,161,True,2022-04-26T17:31:35+00:00,3,325,1324,4,https://osu.ppy.sh/beatmaps/644569
267041,4.39,659063,mania,loved,161,914472,4K MX,7,5,208,False,1831,27,0,4,,7,153,True,2022-04-26T17:31:35+00:00,3,1723,5194,4,https://osu.ppy.sh/beatmaps/659063
267041,3.14,691783,mania,loved,161,914472,4K HD,7,5,208,False,1387,34,0,4,,7.5,153,True,2022-04-26T17:31:36+00:00,3,3312,8371,4,https://osu.ppy.sh/beatmaps/691783
267041,1.89,695808,mania,loved,161,914472,4K NM,7,5,208,False,694,38,0,4,,7,153,True,2022-04-26T17:31:37+00:00,3,1797,3511,4,https://osu.ppy.sh/beatmaps/695808
267041,5.38,3582910,mania,loved,161,2225008,Skalim's 7K Rage!!,8.5,5,208,False,2663,243,0,7,,8.5,161,True,2022-04-26T17:31:37+00:00,3,46,319,4,https://osu.ppy.sh/beatmaps/3582910
1063109,5.94,2226082,mania,loved,421,8521723,[4K] once upon a time,7,5,201,False,4102,1189,0,4,,8,418,True,2022-04-28T13:59:05+00:00,3,663,3529,4,https://osu.ppy.sh/beatmaps/2226082
454942,7.4,975248,mania,loved,259,2031800,[7K] Drive,0,5,160,False,2180,1685,0,7,,8,258,True,2022-04-29T17:28:23+00:00,3,207,517,4,https://osu.ppy.sh/beatmaps/975248
1592501,5.19,3252461,osu,ranked,89,858254,Endless Tide,8,9,164,False,303,94,0,4.2,,6,86,True,2022-04-23T12:13:51+00:00,0,1485,7948,1,https://osu.ppy.sh/beatmaps/3252461
1592501,3.47,3258171,osu,ranked,89,858254,Hard,6.5,8,164,False,129,134,0,3.5,,5,86,True,2022-04-23T12:13:52+00:00,0,2270,6508,1,https://osu.ppy.sh/beatmaps/3258171
1592501,4.81,3263514,osu,ranked,90,9502522,lealu's Insane,7.5,9,164,False,212,106,2,4,,5.5,88,True,2022-04-23T12:13:52+00:00,0,1836,7732,1,https://osu.ppy.sh/beatmaps/3263514
1592501,2.29,3267625,osu,ranked,89,858254,Normal,4,5,164,False,84,107,0,3,,3,86,True,2022-04-23T12:13:53+00:00,0,1527,4366,1,https://osu.ppy.sh/beatmaps/3267625
1610503,7.41,3288266,taiko,loved,126,19901680,300bpm Loli,7,5,300,False,1444,0,0,5,,5,126,True,2022-04-30T08:51:48+00:00,1,65,712,4,https://osu.ppy.sh/beatmaps/3288266
1610503,5.86,3288267,taiko,loved,177,19901680,Love Bomb [1.1x Rate],5.5,5,214.5,False,1444,0,0,5,,5,176,True,2022-04-30T08:51:49+00:00,1,114,589,4,https://osu.ppy.sh/beatmaps/3288267
1610503,6.2,3288268,taiko,loved,162,19901680,Love Bomb [1.2x Rate],5.5,5,234,False,1444,0,0,5,,5,162,True,2022-04-30T08:51:49+00:00,1,153,771,4,https://osu.ppy.sh/beatmaps/3288268
1610503,6.53,3288269,taiko,loved,150,19901680,Love Bomb [1.3x Rate],6,5,253.5,False,1444,0,0,5,,5,149,True,2022-04-30T08:51:50+00:00,1,145,965,4,https://osu.ppy.sh/beatmaps/3288269
1610503,6.84,3288270,taiko,loved,139,19901680,Love Bomb [1.4x Rate],6.5,5,273,False,1444,0,0,5,,5,139,True,2022-04-30T08:51:50+00:00,1,83,789,4,https://osu.ppy.sh/beatmaps/3288270
1610503,5.49,3288271,taiko,loved,194,19901680,Love Bomb,5.5,5,195,False,1444,0,0,5,,5,194,True,2022-04-30T08:51:51+00:00,1,148,1027,4,https://osu.ppy.sh/beatmaps/3288271
1620099,3.45,3312803,osu,ranked,55,12526902,NOPP'S H4RD,6.5,7.5,170,False,68,88,0,4,,5,55,True,2022-04-23T19:50:53+00:00,0,3480,12907,1,https://osu.ppy.sh/beatmaps/3312803
1620099,4.66,3366499,osu,ranked,56,587737,ZETERA'S IN54N3,8,9,170,False,120,75,0,3.4,,6,56,True,2022-04-23T19:50:54+00:00,0,5473,21826,1,https://osu.ppy.sh/beatmaps/3366499
1620099,2.08,3442311,osu,ranked,55,12445673,N0RM41,4.5,5.5,170,False,45,58,0,3.5,,3.5,55,True,2022-04-23T19:50:54+00:00,0,4948,10828,1,https://osu.ppy.sh/beatmaps/3442311
1620099,5.52,3479345,osu,ranked,55,12445673,Q5U4EX7YY2E9N,8.5,9.4,170,False,105,94,0,7,,7,55,True,2022-04-23T19:50:55+00:00,0,1421,8425,1,https://osu.ppy.sh/beatmaps/3479345
1743800,5.31,3565083,osu,ranked,338,896613,Lunatic,8,9,175,False,741,438,1,4,,7,316,True,2022-04-22T07:31:18+00:00,0,938,6193,1,https://osu.ppy.sh/beatmaps/3565083
1634667,6.5,3336424,taiko,ranked,157,14324722,Bloom,7,10,242,False,1230,0,0,4,,6,156,True,2022-04-24T14:37:59+00:00,1,134,638,1,https://osu.ppy.sh/beatmaps/3336424
1634667,2.8,3336425,taiko,ranked,157,14324722,Futsuu,4,5,242,False,442,0,0,5,,7,156,True,2022-04-24T14:37:59+00:00,1,115,406,1,https://osu.ppy.sh/beatmaps/3336425
1634667,2.01,3336426,taiko,ranked,157,14324722,Kantan,3,5,242,False,293,0,0,5,,8,156,True,2022-04-24T14:38:00+00:00,1,161,521,1,https://osu.ppy.sh/beatmaps/3336426
1634667,3.91,3336427,taiko,ranked,157,14324722,Muzukashii,5,5,242,False,671,0,0,5,,6,156,True,2022-04-24T14:38:00+00:00,1,92,453,1,https://osu.ppy.sh/beatmaps/3336427
1634667,5.36,3336428,taiko,ranked,157,14324722,Oni,6,10,242,False,1006,0,0,4,,5,156,True,2022-04-24T14:38:01+00:00,1,127,475,1,https://osu.ppy.sh/beatmaps/3336428
1680421,2.01,3432908,osu,ranked,122,1243669,Beginner,3.3,3.5,190,False,54,115,2,2,,3.3,122,True,2022-04-24T07:55:31+00:00,0,1568,3439,1,https://osu.ppy.sh/beatmaps/3432908
1680421,6.91,3432909,osu,ranked,122,18983,Doomsday's Extreme,9,9.2,190,False,485,309,0,4,,5,122,True,2022-04-24T07:55:32+00:00,0,740,12628,1,https://osu.ppy.sh/beatmaps/3432909
1680421,6.56,3432910,osu,ranked,122,1243669,Insane,8,9.3,190,False,562,252,0,3.5,,6.3,122,True,2022-04-24T07:55:32+00:00,0,708,11224,1,https://osu.ppy.sh/beatmaps/3432910
1680421,5.16,3432911,osu,ranked,122,1211748,Maboyu's Another,7,8.5,190,False,298,221,3,4,,5.5,122,True,2022-04-24T07:55:33+00:00,0,1398,5491,1,https://osu.ppy.sh/beatmaps/3432911
1680421,4.17,3432912,osu,ranked,122,2495509,Tt's Hyper,7.2,8.2,190,False,168,223,1,4.8,,4,112,True,2022-04-24T07:55:33+00:00,0,2033,8785,1,https://osu.ppy.sh/beatmaps/3432912
1680421,2.35,3434771,osu,ranked,122,17735305,karasu's Normal,5,6,190,False,94,123,1,3.5,,3,112,True,2022-04-24T07:55:34+00:00,0,2338,5203,1,https://osu.ppy.sh/beatmaps/3434771
1680421,3.37,3552340,osu,ranked,122,1243669,Hard,6,7.5,190,False,73,222,0,4,,5,113,True,2022-04-24T07:55:34+00:00,0,1560,7543,1,https://osu.ppy.sh/beatmaps/3552340
1678143,4.76,3428524,osu,ranked,89,12016948,"Cherry Blossoms, Blue Ocean, A Carpet of Fallen Leaves and Snow",8,9,130,False,192,176,0,3.8,,5,88,True,2022-04-20T21:13:58+00:00,0,3713,21835,1,https://osu.ppy.sh/beatmaps/3428524
1678143,3.31,3428924,osu,ranked,89,12016948,Hard,6,7.5,130,False,163,118,0,3.6,,4.5,88,True,2022-04-20T21:13:58+00:00,0,6085,22501,1,https://osu.ppy.sh/beatmaps/3428924
1678143,2.2,3429019,osu,ranked,89,12016948,Normal,4,5,130,False,61,108,0,3,,3.5,88,True,2022-04-20T21:13:59+00:00,0,6169,14716,1,https://osu.ppy.sh/beatmaps/3429019
1702460,1.16,3478566,mania,ranked,162,4238941,[4K] Lady Guuji | Easy,7,5,136,False,195,26,0,4,,7,158,True,2022-04-23T03:28:33+00:00,3,429,1756,1,https://osu.ppy.sh/beatmaps/3478566
1702460,2,3478567,mania,ranked,162,4238941,[4K] Mischievous Teasing | Hard,8,5,136,False,405,30,0,4,,8,158,True,2022-04-23T03:28:34+00:00,3,744,1738,1,https://osu.ppy.sh/beatmaps/3478567
1702460,1.58,3478568,mania,ranked,162,4238941,[4K] Astute Amusement | Normal,7.5,5,136,False,275,28,0,4,,7.5,158,True,2022-04-23T03:28:34+00:00,3,357,853,1,https://osu.ppy.sh/beatmaps/3478568
1698262,5.07,3469811,osu,ranked,306,9936528,Dizzy,8,9,126,False,830,534,2,4.5,,7,302,True,2022-04-22T09:26:35+00:00,0,572,7507,1,https://osu.ppy.sh/beatmaps/3469811
1649895,5.73,3367638,osu,ranked,80,10234313,Put Your Hands UP!,9,9.4,139,False,76,216,1,5.5,,5.5,80,True,2022-04-23T03:23:43+00:00,0,948,5068,1,https://osu.ppy.sh/beatmaps/3367638
1649895,4.63,3370964,osu,ranked,79,9048124,Lian's Insane,8,9,139,False,133,185,1,4,,5,78,True,2022-04-23T03:23:43+00:00,0,3128,14815,1,https://osu.ppy.sh/beatmaps/3370964
1649895,1.62,3370965,osu,ranked,79,15823344,Ryxliee's Easy,3,4,139,False,44,47,1,3,,2,78,True,2022-04-23T03:23:44+00:00,0,3196,5275,1,https://osu.ppy.sh/beatmaps/3370965
1649895,2.05,3375609,osu,ranked,79,11333236,-Magic-'s Normal,4.8,5.2,139,False,45,101,0,3.2,,3.8,78,True,2022-04-23T03:23:44+00:00,0,3560,7831,1,https://osu.ppy.sh/beatmaps/3375609
1649895,3.02,3375736,osu,ranked,79,6300910,Kazuha's Hard,6.5,7,139,False,95,121,1,3.5,,4,78,True,2022-04-23T03:23:45+00:00,0,3432,9163,1,https://osu.ppy.sh/beatmaps/3375736
1649895,3.58,3534092,osu,ranked,79,5405836,Crissa's Light Insane,7,8,139,False,117,127,0,4,,4.5,78,True,2022-04-23T03:23:45+00:00,0,4183,11404,1,https://osu.ppy.sh/beatmaps/3534092
1070783,4.64,2241389,taiko,ranked,78,7299864,Tatsujin,6,10,168,False,811,0,2,2,,7,67,True,2022-04-25T23:16:39+00:00,1,57,689,1,https://osu.ppy.sh/beatmaps/2241389
1070783,4.92,2623731,taiko,ranked,78,7299864,Inner Oni,5.5,10,168,False,568,0,2,2,,6,67,True,2022-04-25T23:16:39+00:00,1,364,1369,1,https://osu.ppy.sh/beatmaps/2623731
